Nr,ID próbki,Typ,Gęstość,S (%),Ar (%),R (%),As (%),CII,CII 2022,S-VALUE 2022,P-VALUE PG 2022,Test punktowy,Rzeczywista stabilność,Metody skuteczne w określeniu stabilności
1,GU,lekkie,0.7749,62.23,23.82,12.55,1.4,1.75,1.75,5.07,,2,stabilna,"1,3,5"
2,CU,lekkie,0.7841,82.95,7.73,8.92,0.43,5.01,5.01,3.8,,1,stabilna,"1,3,5"
3,LU/LW,lekkie,0.7952,77.37,14.57,7.25,0.77,3.58,3.09,1.15,0.33,3,niestabilna,"1,2,4,5"
4,CP/CO,lekkie,0.7982,58.3,29.6,10.38,1.72,1.5,2.15,1.24,1.33,3,niestabilna,"2,4,5"
5,R8/RB8,lekkie,0.8098,53.2,43.45,2.37,0.98,1.18,1.82,1.05,1.0,2,obniż. stab.,"1,2,4,5"
6,BA,lekkie,0.8111,62.55,32.72,4.13,0.38,1.71,1.71,,,1,stabilna,"1,3,5"
7,R3/RB3,lekkie,0.8123,53.28,36.37,6.65,3.33,1.32,1.38,1.74,1.22,1,obniż. stab.,"2,3,4"
8,IT/WM,lekkie,0.8124,54.33,39.07,5.6,0.97,1.24,1.24,1.04,1.0,1,obniż. stab.,"2,4,5"
9,YO,lekkie,0.8222,54.2,30.3,14.2,1.23,1.25,1.25,5.26,,2,stabilna,"1,3,5"
10,OB,lekkie,0.8228,49.2,32.64,16.04,2.1,1.05,1.05,1.93,2.0,1,stabilna,"1,3,5"
11,KA,średnie,0.8235,46.02,38.47,6.28,9.25,1.24,1.24,5.1,,2,stabilna,"1,3,4"
12,OS,średnie,0.8248,47.1,35.5,11.27,6.1,1.14,1.14,3.12,,2,stabilna,"1,3,4"
13,GO,średnie,0.825,61.75,30.85,6.08,1.32,1.71,1.71,1.68,4.35,1,obniż. stab..,"2,3,4"
14,G1*,średnie,0.834,56.43,34.6,3.72,5.22,1.61,1.61,2.5,,3,niestabilna,"2,4,5"
15,AZ,średnie,0.8345,51.27,26.05,21.1,1.62,1.12,1.12,7.73,5.9,1,stabilna,"3,4,5"
16,LA,średnie,0.8371,39.88,32.85,18.98,8.28,0.93,0.93,1.44,1.59,3,obniż. stab.,"2,3,4,5"
17,GI,średnie,0.8396,38.95,47.92,10.62,2.52,0.71,0.71,*,3.6,1,stabilna,"1,2,3,4,5"
18,GE/LN,średnie,0.8403,55.05,32.48,5.27,6.75,1.64,2.14,3.42,1.0,3,niestabilna,"2,4,5"
19,ES,średnie,0.8455,36.83,35.62,21.35,6.2,0.76,0.76,2.7,1.78,3,obniż. stab.,"2,4,5"
20,NV/NP,średnie,0.8475,63.95,28.0,7.77,0.3,1.8,1.8,4.65,2.0,1,stabilna,"1,3,4,5"
21,TR/TL,średnie,0.852,42.87,37.22,17.15,3.6,0.85,0.85,3.29,1.87,1,stabilna,"1,2,3"
22,AL,średnie,0.859,21.33,59.5,9.05,10.1,0.46,0.46,2.21,1.48,1,stabilna,"2,3,4,5"
23,AL1,średnie,0.8606,22.07,63.35,7.0,7.58,0.42,0.42,2.16,,2,stabilna,"2,3,4,5"
24,AL2,średnie,0.8594,21.05,64.4,6.43,8.12,0.41,0.41,2.42,,2,stabilna,"2,3,4,5"
25,WE,średnie,0.8635,26.98,41.53,18.92,12.6,0.65,0.65,1.79,1.5,3,obniż.stab.,"3,4,5"
26,FO,średnie,0.8652,37.43,40.52,17.35,4.7,0.73,0.73,3.13,,2,stabilna,"1,3,4,5"
27,EM,średnie,0.8706,25.4,30.73,30.23,13.67,0.64,0.64,1.78,1.63,2,obniż. stab.,"3,4,5"
28,RP1,średnie,0.8735,22.48,59.18,10.57,7.8,0.43,0.43,3.04,1.78,2,stabilna,"2,3,4"
29,RA/RO,średnie,0.8741,21.52,53.57,14.45,10.43,0.47,0.47,2.95,2.25,3,stabilna,"2,3,4"
30,RU/RO,średnie,0.8741,19.23,58.85,14.15,7.8,0.37,0.37,2.76,2.25,3,stabilna,"2,3,4"
31,NO,ciężkie,0.8749,50.1,41.97,6.2,1.7,1.08,1.08,3.81,3.01,2,stabilna,"1,3,4"
32,G2,ciężkie,0.876,32.1,51.17,11.47,5.25,0.6,0.6,4.44,,2,stabilna,"1,2,3,4"
33,JC,ciężkie,0.8768,36.53,41.8,19.62,2.05,0.63,0.63,5.61,4.53,2,stabilna,"1,2,3,4"
34,RP/RO,ciężkie,0.877,19.97,58.72,10.8,10.55,0.44,0.44,2.88,2.67,3,stabilna,"2,3,4"
35,K1,ciężkie,0.8789,17.07,55.68,10.03,17.22,0.52,0.52,1.91,1.14,3,obniż. stab.,"3,4,5"
36,KI/KK,ciężkie,0.8793,18.27,60.35,10.32,11.07,0.42,0.7,1.73,1.83,3,obniż. stab.,"3,4,5"
37,JS,ciężkie,0.8815,20.1,51.8,21.2,6.97,0.37,0.37,2.86,3.5,3,stabilna,"2,3,4"
38,G1,ciężkie,0.884,28.05,48.82,17.75,5.38,0.5,0.5,4.52,1.78,2,stabilna,"1,2,3,4"
39,EG,ciężkie,0.8876,43.43,42.72,12.93,0.92,0.8,0.8,4.53,1.78,2,obniż. stab.,"1,2,4,5"
40,CA/CR,ciężkie,0.8922,44.9,40.7,11.57,2.85,0.91,0.91,1.77,2.43,2,obniż. stab.,"1,2,4,5"
41,ML,ciężkie,0.8949,46.48,46.98,5.3,1.6,0.92,0.92,3.61,,1,stabilna,"1,3,4,5"
42,SC,ciężkie,0.9034,42.43,43.88,9.85,3.83,0.86,0.86,5.69,,2,stabilna,"1,3,4"
43,HI,ciężkie,0.9069,33.35,48.62,15.03,2.97,0.57,0.57,6.09,7.34,1,b. stabilna,"1,2,3,4,5"
44,LO,ciężkie,0.9084,24.18,44.43,27.15,4.23,0.4,0.4,4.78,,2,stabilna,"2,3,4"
45,C1,ciężkie,0.9098,23.38,44.97,19.45,12.17,0.55,0.55,*,,2,stabilna,"1,2,3,4"
46,AR,ciężkie,0.912,21.02,63.85,10.68,4.07,0.34,0.34,2.86,2.25,1,stabilna,"2,3,4"
47,CL,ciężkie,0.9123,23.23,46.22,17.57,12.97,0.57,0.57,4.28,2.06,2,b. stabilna,"1,2,3,4"
48,HE,ciężkie,0.9317,25.32,50.47,17.57,6.63,0.47,0.47,4.96,1.67,3,stabilna,"2,3,4"
49,EB/EK,ciężkie,0.9478,19.15,52.13,26.33,2.4,0.27,0.27,7.08,9.87,1,b. stabilna,"1,2,3,4,5"
50,HA,ciężkie,0.9478,7.45,52.28,20.95,19.32,0.37,0.37,3.4,2.67,1,stabilna,"2,3,4,5"
51,ME,ciężkie,0.959,6.37,42.48,28.12,23.02,0.42,0.42,3.21,2.43,1,stabilna,"2,3,4,5"
