S1,Ar1,R1,As1,%1,S2,Ar2,R2,As2,%2,SMix,ArMix,RMix,AsMix
18.13,27.8,32.72,10.23,0.9,77.0,4.3,17.95,0.7,0.1,25.16,37.71,26.07,11.07
18.13,27.8,32.72,10.23,0.75,77.0,4.3,17.95,0.7,0.25,32.67,33.6,24.23,9.5
18.13,27.8,32.72,10.23,0.5,77.0,4.3,17.95,0.7,0.5,46.37,23.35,22.18,8.1
18.13,27.8,32.72,10.23,0.1,77.0,4.3,17.95,0.7,0.9,66.7,7.7,20.8,4.8
18.13,27.8,32.72,10.23,0.7,52.0,29.73,6.69,0.47,0.3,26.13,35.2,28.83,9.83
18.13,27.8,32.72,10.23,0.1,52.0,29.73,6.69,0.47,0.9,46.95,35.3,14.8,2.95
18.13,27.8,32.72,10.23,0.75,66.07,20.96,6.42,6.53,0.25,35.78,29.28,25.3,9.65
18.13,27.8,32.72,10.23,0.5,66.07,20.96,6.42,6.53,0.5,43.3,23.8,23.8,9.1
18.13,27.8,32.72,10.23,0.25,66.07,20.96,6.42,6.53,0.75,53.1,21.1,16.8,9.0
18.13,27.8,32.72,10.23,0.9,39.9,24.9,30.9,4.3,0.1,24.9,30.0,35.1,10.0
18.13,27.8,32.72,10.23,0.65,39.9,24.9,30.9,4.3,0.35,27.05,29.95,34.5,8.5
18.13,27.8,32.72,10.23,0.25,39.9,24.9,30.9,4.3,0.75,36.6,26.1,32.4,4.9
18.13,27.8,32.72,10.23,0.8,72.0,22.3,5.0,0.7,0.2,31.2,33.1,29.05,6.65
18.13,27.8,32.72,10.23,0.5,72.0,22.3,5.0,0.7,0.5,40.27,31.3,21.3,7.13
18.13,27.8,32.72,10.23,0.2,72.0,22.3,5.0,0.7,0.8,56.2,26.78,13.4,3.63
18.13,27.8,32.72,10.23,0.9,62.1,19.83,14.67,3.4,0.1,24.1,30.29,38.01,7.6
18.13,27.8,32.72,10.23,0.5,62.1,19.83,14.67,3.4,0.5,32.13,29.36,32.17,6.33
18.13,27.8,32.72,10.23,0.2,62.1,19.83,14.67,3.4,0.8,46.6,18.9,28.77,5.73
18.13,27.8,32.72,10.23,0.9,74.9,14.1,9.2,1.8,0.1,29.13,35.63,26.25,9.0
18.13,27.8,32.72,10.23,0.8,74.9,14.1,9.2,1.8,0.2,31.0,34.7,25.3,9.0
18.13,27.8,32.72,10.23,0.5,74.9,14.1,9.2,1.8,0.5,47.6,26.45,19.05,6.9
18.13,27.8,32.72,10.23,0.15,74.9,14.1,9.2,1.8,0.85,66.4,23.93,7.6,2.07
18.13,27.8,32.72,10.23,0.9,19.95,24.15,34.78,21.13,0.1,18.99,31.35,38.1,11.56
18.13,27.8,32.72,10.23,0.6,19.95,24.15,34.78,21.13,0.4,18.77,31.02,37.91,12.3
18.13,27.8,32.72,10.23,0.7,19.95,24.15,34.78,21.13,0.3,18.95,31.45,37.69,11.91
18.13,27.8,32.72,10.23,0.2,19.95,24.15,34.78,21.13,0.8,17.9,30.97,36.06,15.07
18.13,27.8,32.72,10.23,0.5,20.3,37.85,36.5,5.35,0.5,20.1,36.53,34.43,8.95
18.13,27.8,32.72,10.23,0.9,20.3,37.85,36.5,5.35,0.1,20.3,34.5,35.15,10.05
18.13,27.8,32.72,10.23,0.9,70.8,24.2,4.8,0.2,0.1,26.27,30.07,34.17,9.5
18.13,27.8,32.72,10.23,0.5,70.8,24.2,4.8,0.2,0.5,44.9,27.57,20.3,7.23
18.13,27.8,32.72,10.23,0.05,70.8,24.2,4.8,0.2,0.95,68.0,24.13,7.1,0.77
18.13,27.8,32.72,10.23,0.9,72.25,18.2,8.15,1.4,0.1,26.97,30.57,32.67,9.8
18.13,27.8,32.72,10.23,0.65,72.25,18.2,8.15,1.4,0.35,34.73,29.3,26.4,9.57
18.13,27.8,32.72,10.23,0.25,72.25,18.2,8.15,1.4,0.75,54.73,21.47,16.83,6.97
18.13,27.8,32.72,10.23,0.8,56.9,28.05,12.85,1.2,0.2,27.27,29.17,33.3,10.27
18.13,27.8,32.72,10.23,0.3,56.9,28.05,12.85,1.2,0.7,41.03,31.2,21.47,6.3
18.13,27.8,32.72,10.23,0.9,71.6,7.5,20.3,0.6,0.1,26.4,34.77,28.57,10.27
18.13,27.8,32.72,10.23,0.65,71.6,7.5,20.3,0.6,0.35,37.23,28.0,27.07,7.7
18.13,27.8,32.72,10.23,0.25,71.6,7.5,20.3,0.6,0.75,61.27,14.93,20.67,3.13
57.94,37.83,3.39,0.84,0.3,25.58,63.97,2.84,7.6,0.7,30.27,22.33,39.56,7.85
57.94,37.83,3.39,0.84,0.5,25.58,63.97,2.84,7.6,0.5,33.02,33.81,30.48,2.68
57.94,37.83,3.39,0.84,0.7,25.58,63.97,2.84,7.6,0.3,40.69,21.49,31.94,5.88
