ID_1,S_Value1,%_1,ID_2,S_Value2,%_2,S_Value_res
LW,1.15,10,RO,2.88,90,2.95
LW,1.15,35,RO,2.88,65,1.72
LW,1.15,75,RO,2.88,25,2.76
TR,3.29,20,RO,2.88,80,2.89
TR,3.29,70,RO,2.88,30,2.4
EK,7.08,10,KK,1.73,20,2.21
EK,7.08,10,RO,2.88,70,2.58
EK,7.08,10,RO,2.88,60,3.28
EK,7.08,10,RO,2.88,40,2.68
EK,7.08,10,RO,2.88,10,2.37
CO,1.24,10,RO,2.88,90,3.16
CO,1.24,35,RO,2.88,65,3.14
CO,1.24,75,RO,2.88,25,2.28
RB8,1.05,10,RO,2.88,90,3.16
RB8,1.05,50,RO,2.88,50,1.95
RB8,1.05,95,RO,2.88,5,1.31
EK,7.08,10,RO,2.88,90,3.1
EK,7.08,50,RO,2.88,50,2.91
EF,1.33,10,RO,2.88,90,2.73
EF,1.33,25,RO,2.88,75,2.67
EF,1.33,50,RO,2.88,50,1.88
EF,1.33,90,RO,2.88,10,1.46
RB3,1.74,30,RO,2.88,70,2.73
RB3,1.74,90,RO,2.88,10,1.08
FG,1.33,10,RO,2.88,90,2.86
FG,1.33,35,RO,2.88,65,2.16
FG,1.33,75,RO,2.88,25,1.78
NP.,4.65,20,RO,2.88,80,3.05
NP.,4.65,50,RO,2.88,50,2.89
NP.,4.65,80,RO,2.88,20,1.67
CR,1.77,10,RO,2.88,90,3.2
CR,1.77,50,RO,2.88,50,2.79
CR,1.77,80,RO,2.88,20,2.1
WM,1.04,10,RO,2.88,90,2.58
WM,1.04,20,RO,2.88,80,2.8
WM,1.04,50,RO,2.88,50,1.8
WM,1.04,85,RO,2.88,15,1.65
KK,1.73,10,RO,2.88,90,1.93
KK,1.73,20,RO,2.88,80,1.77
KK,1.73,40,RO,2.88,60,1.99
KK,1.73,30,RO,2.88,70,1.86
